Australian Bureau of Statistics

"2016 Census - Internal Migration"
"LGA (UR) by STATE (1YRS)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"STATE (1YRS)","New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory","Other Territories","Overseas","Not stated","Not applicable","Total",
"LGA (UR)",
"Alpine (S)",128,10802,61,12,26,12,14,0,0,68,1115,94,12335,
"Ararat (RC)",26,9684,30,21,35,5,4,0,0,73,1619,107,11599,
"Ballarat (C)",254,90368,327,156,130,65,59,35,0,633,8382,1283,101689,
"Banyule (C)",334,109352,328,100,144,46,63,65,0,1611,8291,1535,121869,
"Bass Coast (S)",99,29121,114,23,52,20,37,3,0,139,2906,303,32806,
"Baw Baw (S)",110,43156,153,39,65,25,21,10,3,157,4181,566,48477,
"Bayside (C)",356,86325,238,74,131,21,26,43,5,1736,7286,860,97092,
"Benalla (RC)",85,12226,41,5,10,12,6,4,0,33,1314,123,13863,
"Boroondara (C)",582,147810,479,222,315,93,45,155,0,4642,11517,1374,167232,
"Brimbank (C)",408,171982,327,172,152,52,73,41,0,3613,15043,2459,194315,
"Buloke (S)",7,5433,19,13,7,4,3,0,0,19,652,46,6202,
"Campaspe (S)",343,32678,119,27,32,26,13,8,0,95,3342,376,37054,
"Cardinia (S)",228,84415,218,45,81,20,37,11,0,623,7012,1441,94130,
"Casey (C)",711,267918,547,322,336,118,72,89,0,4393,20296,4491,299296,
"Central Goldfields (S)",43,11677,23,15,8,3,13,0,0,28,1076,102,12993,
"Colac-Otway (S)",54,18736,46,31,17,19,19,0,0,95,1735,224,20971,
"Corangamite (S)",36,14229,45,16,21,7,19,0,0,46,1474,146,16053,
"Darebin (C)",676,126347,421,223,251,96,79,96,0,3848,12943,1738,146722,
"East Gippsland (S)",269,39259,201,58,83,13,41,26,0,119,4539,441,45041,
"Frankston (C)",264,119123,294,53,119,50,42,30,0,908,11487,1766,134144,
"Gannawarra (S)",66,9365,40,5,13,0,13,5,0,9,934,103,10548,
"Glen Eira (C)",457,124367,320,152,224,71,25,66,0,4016,9555,1626,140875,
"Glenelg (S)",52,17253,55,90,33,14,11,4,0,33,1813,202,19556,
"Golden Plains (S)",41,19824,32,19,17,3,10,0,0,36,1445,253,21687,
"Greater Bendigo (C)",430,97751,306,168,139,91,81,26,0,581,9609,1292,110479,
"Greater Dandenong (C)",396,132766,318,227,169,72,62,33,0,4477,11430,2106,152052,
"Greater Geelong (C)",670,206568,658,235,333,119,140,105,0,2187,19773,2639,233426,
"Greater Shepparton (C)",250,55137,215,68,63,47,54,13,0,615,6561,812,63839,
"Hepburn (S)",49,13443,40,5,24,3,14,0,0,58,1567,131,15327,
"Hindmarsh (S)",23,5109,8,28,3,0,10,0,0,21,471,47,5725,
"Hobsons Bay (C)",333,78435,242,86,158,41,27,35,0,1373,6816,1230,88777,
"Horsham (RC)",36,17726,41,69,32,4,23,0,0,66,1425,219,19641,
"Hume (C)",701,174739,366,170,161,56,29,41,3,3705,14473,2936,197376,
