Australian Bureau of Statistics

"2016 Census - Internal Migration"
"LGA (UR) by LGA (1YRS)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LGA (1YRS)","Alpine (S)","Ararat (RC)","Ballarat (C)","Banyule (C)","Bass Coast (S)","Baw Baw (S)","Bayside (C)","Benalla (RC)","Boroondara (C)","Brimbank (C)","Buloke (S)","Campaspe (S)","Cardinia (S)","Casey (C)","Central Goldfields (S)","Colac-Otway (S)","Corangamite (S)","Darebin (C)","East Gippsland (S)","Frankston (C)","Gannawarra (S)","Glen Eira (C)","Glenelg (S)","Golden Plains (S)","Greater Bendigo (C)","Greater Dandenong (C)","Greater Geelong (C)","Greater Shepparton (C)","Hepburn (S)","Hindmarsh (S)","Hobsons Bay (C)","Horsham (RC)","Hume (C)","Indigo (S)","Kingston (C)","Knox (C)","Latrobe (C)","Loddon (S)","Macedon Ranges (S)","Manningham (C)","Mansfield (S)","Maribyrnong (C)","Maroondah (C)","Melbourne (C)","Melton (C)","Mildura (RC)","Mitchell (S)","Moira (S)","Monash (C)","Moonee Valley (C)","Moorabool (S)","Moreland (C)","Mornington Peninsula (S)","Mount Alexander (S)","Moyne (S)","Murrindindi (S)","Nillumbik (S)","Northern Grampians (S)","Port Phillip (C)","Pyrenees (S)","Queenscliffe (B)","South Gippsland (S)","Southern Grampians (S)","Stonnington (C)","Strathbogie (S)","Surf Coast (S)","Swan Hill (RC)","Towong (S)","Wangaratta (RC)","Warrnambool (C)","Wellington (S)","West Wimmera (S)","Whitehorse (C)","Whittlesea (C)","Wodonga (C)","Wyndham (C)","Yarra (C)","Yarra Ranges (S)","Yarriambiack (S)","Capital City Undefined (Greater Melbourne)","Unincorporated Vic","No Usual Address (Vic.)","Migratory - Offshore - Shipping (Vic.)","State Undefined (Vic.)","Total",
"LGA (UR)",
"Alpine (S)",10359,0,0,3,0,6,8,3,14,0,0,5,4,8,0,3,4,12,0,9,0,7,0,10,5,0,13,3,4,0,7,0,0,19,8,11,4,0,5,0,3,4,11,6,0,4,0,3,5,9,3,13,9,0,0,0,0,0,3,0,0,7,0,4,0,0,0,12,37,3,3,0,15,5,29,7,4,10,0,4,11,4,0,12,10802,
"Ararat (RC)",4,9265,49,6,0,0,0,0,7,3,0,0,9,3,4,4,9,4,3,7,0,0,10,8,3,6,17,0,4,0,3,6,3,0,0,0,6,0,0,0,0,0,0,0,4,5,0,0,6,0,3,4,7,0,6,0,4,75,5,15,0,0,13,3,0,0,4,0,0,5,0,6,0,0,0,12,9,0,6,4,0,5,0,13,9684,
"Ballarat (C)",4,109,85943,49,14,21,22,4,52,38,20,39,14,51,106,35,54,64,22,28,15,34,31,384,98,31,275,26,260,23,52,113,54,9,33,30,42,5,45,28,11,60,38,82,109,67,23,15,50,75,326,61,54,37,43,6,3,118,46,151,0,8,45,26,4,29,23,0,12,56,24,8,38,50,8,118,43,23,31,15,0,25,0,146,90368,
"Banyule (C)",12,5,26,102254,18,15,33,3,540,57,3,16,20,41,3,5,3,1184,12,33,7,70,5,3,41,36,43,41,5,0,74,4,120,0,30,68,7,0,8,497,3,72,113,273,31,7,48,14,139,118,0,314,62,8,0,10,708,0,117,0,0,11,0,110,4,14,8,3,4,14,18,0,228,985,21,80,307,55,0,48,3,8,0,46,109352,
"Bass Coast (S)",5,0,10,29,27123,52,14,3,39,14,0,8,158,179,5,0,0,16,39,99,4,16,4,0,15,31,12,7,5,0,20,5,14,0,57,85,54,0,3,40,3,9,74,15,10,4,5,11,47,26,0,16,97,0,0,9,17,0,25,6,0,214,6,18,0,0,3,0,0,4,25,0,63,14,9,24,15,118,9,7,4,8,0,26,29121,
"Baw Baw (S)",0,0,16,16,60,40455,11,0,25,4,0,6,647,420,0,0,4,23,44,67,0,18,3,0,10,76,14,4,0,0,4,0,5,0,30,77,393,8,9,24,0,4,21,7,3,0,3,4,67,4,3,8,75,0,0,3,8,0,16,0,0,117,0,14,0,0,4,0,5,0,67,0,26,5,0,26,12,82,0,8,0,10,0,39,43156,
"Bayside (C)",0,0,9,34,3,7,80661,4,215,29,0,3,14,86,0,0,3,51,5,123,0,1227,4,3,16,78,27,9,10,0,46,0,16,0,986,47,6,0,9,39,8,54,17,224,24,9,11,0,218,25,0,75,163,0,0,0,8,0,868,0,0,3,0,399,4,7,3,0,4,3,0,0,91,15,0,56,157,21,0,43,3,3,0,23,86325,
"Benalla (RC)",6,0,3,7,0,8,4,11703,5,3,0,8,9,27,5,0,0,12,7,27,4,3,0,3,8,0,6,38,0,0,7,0,8,7,3,3,5,0,4,0,25,0,6,0,4,0,0,29,6,8,3,7,7,0,0,8,0,6,5,4,0,0,0,0,29,0,5,0,65,8,0,0,9,3,8,14,4,20,0,0,0,3,0,19,12226,
"Boroondara (C)",7,8,70,323,41,33,128,6,136770,116,11,14,66,205,5,8,10,401,23,74,5,394,0,6,63,95,128,43,3,0,91,7,40,13,90,219,38,3,21,749,10,132,191,863,45,21,22,12,761,166,18,245,124,20,5,7,81,8,388,0,6,26,15,1241,0,25,3,3,24,11,22,0,1484,112,22,159,933,134,6,69,9,6,0,51,147810,
