Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 Census - Internal Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE (UR) by LGA (5YRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA (5YRS),Alpine (S),Ararat (RC),Ballarat (C),Banyule (C),Bass Coast (S),Baw Baw (S),Bayside (C),Benalla (RC),Boroondara (C),Brimbank (C),Buloke (S),Campaspe (S),Cardinia (S),Casey (C),Central Goldfields (S),Colac-Otway (S),Corangamite (S),Darebin (C),East Gippsland (S),Frankston (C),Gannawarra (S),Glen Eira (C),Glenelg (S),Golden Plains (S),Greater Bendigo (C),Greater Dandenong (C),Greater Geelong (C),Greater Shepparton (C),Hepburn (S),Hindmarsh (S),Hobsons Bay (C),Horsham (RC),Hume (C),Indigo (S),Kingston (C),Knox (C),Latrobe (C),Loddon (S),Macedon Ranges (S),Manningham (C),Mansfield (S),Maribyrnong (C),Maroondah (C),Melbourne (C),Melton (C),Mildura (RC),Mitchell (S),Moira (S),Monash (C),Moonee Valley (C),Moorabool (S),Moreland (C),Mornington Peninsula (S),Mount Alexander (S),Moyne (S),Murrindindi (S),Nillumbik (S),Northern Grampians (S),Port Phillip (C),Pyrenees (S),Queenscliffe (B),South Gippsland (S),Southern Grampians (S),Stonnington (C),Strathbogie (S),Surf Coast (S),Swan Hill (RC),Towong (S),Wangaratta (RC),Warrnambool (C),Wellington (S),West Wimmera (S),Whitehorse (C),Whittlesea (C),Wodonga (C),Wyndham (C),Yarra (C),Yarra Ranges (S),Yarriambiack (S),Capital City Undefined (Greater Melbourne),Unincorporated Vic,No Usual Address (Vic.),Migratory - Offshore - Shipping (Vic.),State Undefined (Vic.),Total
STATE (UR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,283,70,621,834,249,253,922,191,1702,924,73,1066,424,1154,89,128,97,1143,435,799,190,1141,117,95,745,674,1314,601,87,24,626,121,876,620,805,775,432,64,296,616,95,758,588,1984,547,1056,389,748,1214,718,195,1395,1306,108,104,111,349,116,1692,47,20,186,143,1498,108,247,488,349,361,167,444,27,1095,708,2049,1332,1341,850,60,635,39,25,0,556,47912
Queensland,124,103,1014,913,490,409,699,151,1114,854,61,469,817,1871,69,171,143,800,476,1233,62,878,242,173,1113,749,1952,661,113,60,678,177,994,189,1034,927,886,60,429,686,71,517,745,1068,837,461,711,312,1105,681,255,1076,1681,164,131,132,375,131,1079,57,36,231,199,834,47,306,186,74,259,403,672,22,927,957,1160,1728,696,1323,53,629,37,21,0,641,47053
South Australia,53,39,241,185,44,45,160,39,375,231,45,96,99,328,43,73,72,330,121,184,35,263,400,43,231,282,388,149,32,111,204,169,174,27,226,195,103,15,74,137,11,197,180,375,161,1137,154,56,325,254,43,386,183,21,58,25,52,67,297,13,4,18,220,271,33,28,169,14,45,129,152,213,272,190,165,395,240,226,45,116,26,11,0,236,13300
Tasmania,20,18,121,173,57,68,93,21,195,76,3,47,115,177,36,33,21,229,67,163,3,147,32,15,167,58,249,68,29,3,131,41,120,25,152,136,94,9,100,95,10,127,106,248,91,72,66,40,148,117,59,251,233,38,14,28,68,21,179,8,6,40,32,190,16,57,29,7,33,42,66,7,145,62,78,196,208,209,15,70,9,7,0,78,6928
Western Australia,36,45,337,321,157,130,266,37,501,393,34,127,246,688,45,43,62,415,175,364,32,436,117,52,374,438,716,224,49,8,310,56,379,61,423,376,308,11,71,251,41,355,235,695,299,239,110,84,499,322,57,549,632,30,52,35,172,52,634,7,19,93,122,555,29,125,109,10,82,169,161,23,440,333,135,665,460,372,20,276,14,10,0,299,18732
Northern Territory,19,18,165,120,65,59,52,31,87,120,12,70,99,158,18,35,23,137,80,109,18,57,63,28,202,92,267,88,23,0,82,27,73,31,99,96,140,4,54,40,20,79,105,112,79,98,119,55,102,68,35,173,221,26,21,24,81,25,97,0,0,46,36,70,15,48,38,6,56,65,105,16,77,78,230,142,142,132,4,69,4,0,0,59,5923
Australian Capital Territory,13,0,95,228,21,31,139,21,358,115,3,19,65,200,0,6,4,209,35,73,0,234,15,10,96,89,212,38,16,0,111,4,105,32,137,125,31,3,34,141,5,147,99,367,62,25,78,12,292,158,11,309,157,11,6,17,54,0,214,3,22,21,16,194,9,17,9,13,28,19,89,0,222,128,142,252,205,97,0,66,0,0,0,64,6705
Other Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
Total,554,298,2588,2764,1087,985,2339,483,4325,2716,230,1889,1862,4581,298,487,414,3262,1394,2928,338,3152,987,416,2928,2382,5096,1845,347,216,2136,598,2716,987,2883,2618,1999,169,1060,1971,246,2175,2052,4866,2074,3091,1630,1295,3687,2322,660,4143,4412,412,386,374,1147,414,4186,141,103,630,773,3619,262,836,1028,479,869,997,1680,315,3171,2464,3963,4716,3283,3203,198,1863,115,65,0,1930,146597
