Australian Bureau of Statistics

"2016 Census - Internal Migration"
"LGA (UR) by STATE (5YRS)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"STATE (5YRS)","New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory","Other Territories","Overseas","Not stated","Not applicable","Total",
"LGA (UR)",
"Alpine (S)",294,9829,188,66,66,21,35,23,0,197,1099,522,12335,
"Ararat (RC)",62,8973,83,52,44,16,33,3,0,150,1622,564,11599,
"Ballarat (C)",883,82587,795,457,465,217,151,78,0,2070,7367,6615,101689,
"Banyule (C)",897,99137,791,290,313,139,130,169,0,5715,6546,7743,121869,
"Bass Coast (S)",205,27105,285,64,154,59,55,21,0,387,2796,1668,32806,
"Baw Baw (S)",330,40173,366,92,176,80,56,15,0,525,3711,2946,48477,
"Bayside (C)",1062,78183,664,203,372,117,34,151,0,5653,5656,4993,97092,
"Benalla (RC)",218,11374,134,26,56,26,17,10,0,95,1221,672,13863,
"Boroondara (C)",2009,130034,1453,642,774,306,134,317,3,15045,8779,7742,167232,
"Brimbank (C)",949,149408,689,333,301,172,140,100,9,15781,13484,12954,194315,
"Buloke (S)",37,5095,54,22,22,5,13,4,0,54,643,253,6202,
"Campaspe (S)",832,29891,319,66,151,64,48,15,0,381,3227,2076,37054,
"Cardinia (S)",617,76138,621,164,201,92,87,54,3,2401,5923,7823,94130,
"Casey (C)",1675,235606,1490,645,653,242,179,157,15,18134,16736,23772,299296,
"Central Goldfields (S)",103,10883,108,57,52,28,20,12,0,97,1055,582,12993,
"Colac-Otway (S)",128,17286,113,64,48,48,38,5,0,345,1728,1167,20971,
"Corangamite (S)",91,13242,106,57,48,21,28,6,0,128,1447,876,16053,
"Darebin (C)",1867,108192,1364,561,622,325,188,340,7,13118,11310,8835,146722,
"East Gippsland (S)",618,35952,598,104,259,81,90,73,3,465,4571,2226,45041,
"Frankston (C)",848,108975,859,191,299,177,93,83,0,3781,9826,9014,134144,
"Gannawarra (S)",173,8658,129,30,44,9,18,0,0,60,919,507,10548,
"Glen Eira (C)",1405,107226,981,398,523,207,84,197,0,13739,7519,8599,140875,
"Glenelg (S)",161,15829,114,289,119,67,46,6,0,150,1790,978,19556,
"Golden Plains (S)",111,18272,134,62,60,32,19,13,0,148,1412,1426,21687,
