Australian Bureau of Statistics

"2016 Census - Internal Migration"
"LGA (UR) by UAI1P Usual Address One Year Ago Indicator"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"UAI1P Usual Address One Year Ago Indicator","Same as in 2016","Elsewhere in Australia","Overseas in 2015","Not stated","Not applicable","Total",
"LGA (UR)",
"Alpine (S)",9711,1351,68,1107,94,12335,
"Ararat (RC)",8580,1243,73,1602,107,11599,
"Ballarat (C)",76451,15107,633,8217,1283,101689,
"Banyule (C)",97543,13051,1611,8129,1535,121869,
"Bass Coast (S)",24722,4816,139,2831,303,32806,
"Baw Baw (S)",37246,6417,157,4093,566,48477,
"Bayside (C)",75931,11411,1736,7163,860,97092,
"Benalla (RC)",10762,1645,33,1298,123,13863,
"Boroondara (C)",128029,21897,4642,11300,1374,167232,
"Brimbank (C)",155107,18398,3613,14739,2459,194315,
"Buloke (S)",4970,530,19,647,46,6202,
"Campaspe (S)",29432,3906,95,3251,376,37054,
"Cardinia (S)",71862,13340,623,6862,1441,94130,
"Casey (C)",234613,35968,4393,19834,4491,299296,
"Central Goldfields (S)",10352,1454,28,1058,102,12993,
"Colac-Otway (S)",16603,2352,95,1705,224,20971,
"Corangamite (S)",12898,1501,46,1455,146,16053,
"Darebin (C)",108660,19930,3848,12546,1738,146722,
"East Gippsland (S)",34628,5413,119,4438,441,45041,
"Frankston (C)",104273,15990,908,11209,1766,134144,
"Gannawarra (S)",8588,933,9,918,103,10548,
"Glen Eira (C)",107702,18213,4016,9314,1626,140875,
"Glenelg (S)",15639,1902,33,1775,202,19556,
"Golden Plains (S)",17921,2072,36,1403,253,21687,
"Greater Bendigo (C)",84267,14909,581,9434,1292,110479,
"Greater Dandenong (C)",116092,18285,4477,11093,2106,152052,
"Greater Geelong (C)",177294,31947,2187,19367,2639,233426,
"Greater Shepparton (C)",48389,7569,615,6449,812,63839,
"Hepburn (S)",12007,1595,58,1542,131,15327,
"Hindmarsh (S)",4689,500,21,460,47,5725,
"Hobsons Bay (C)",69142,10365,1373,6669,1230,88777,
"Horsham (RC)",15486,2483,66,1384,219,19641,
"Hume (C)",154031,22503,3705,14197,2936,197376,
"Indigo (S)",12812,1670,38,1303,129,15953,
"Kingston (C)",119803,16637,2527,10675,1753,151389,
"Knox (C)",126701,15001,1612,9049,1745,154109,
"Latrobe (C)",56463,8448,286,7231,840,73257,
"Loddon (S)",6057,521,16,860,63,7512,
"Macedon Ranges (S)",36967,4890,181,3526,540,46103,
"Manningham (C)",94874,11408,2367,6657,948,116260,
"Mansfield (S)",6430,1235,63,784,72,8589,
"Maribyrnong (C)",59061,12265,2460,7314,1195,82285,
"Maroondah (C)",88424,12265,1306,6978,1404,110372,
"Melbourne (C)",70809,29312,17162,17532,1147,135964,
"Melton (C)",104933,15836,1538,10971,2163,135443,
"Mildura (RC)",40364,6878,522,5451,648,53878,
"Mitchell (S)",31036,5367,265,3739,510,40916,
"Moira (S)",22476,3501,123,2699,307,29108,
"Monash (C)",138082,22750,8601,11567,1615,182617,
"Moonee Valley (C)",89805,14266,2128,9110,1356,116674,
"Moorabool (S)",25723,3193,96,2469,337,31820,
"Moreland (C)",119204,23927,4572,12712,2141,162564,
"Mornington Peninsula (S)",120833,19794,821,12156,1394,154996,
"Mount Alexander (S)",14284,1840,83,2403,151,18762,
"Moyne (S)",13183,1698,75,1369,173,16499,
"Murrindindi (S)",10896,1370,54,1304,112,13730,
"Nillumbik (S)",52004,4696,358,3661,557,61274,
"Northern Grampians (S)",9142,1210,46,927,113,11436,
"Port Phillip (C)",65526,17941,3782,12458,1162,100863,
"Pyrenees (S)",5522,617,13,1041,49,7240,
"Queenscliffe (B)",2263,267,14,296,12,2854,
"South Gippsland (S)",22571,3174,89,2581,296,28700,
"Southern Grampians (S)",12870,1744,70,1093,169,15941,
"Stonnington (C)",71344,17732,3973,9853,924,103831,
"Strathbogie (S)",8095,1113,43,952,76,10272,
"Surf Coast (S)",22628,4038,197,2195,332,29402,
"Swan Hill (RC)",15369,2109,165,2685,255,20587,
"Towong (S)",4797,607,8,520,58,5986,
"Wangaratta (RC)",22420,3091,97,2406,288,28310,
"Warrnambool (C)",25377,4486,343,3044,395,33655,
"Wellington (S)",32752,4945,211,4637,441,42986,
"West Wimmera (S)",3280,337,5,250,37,3905,
"Whitehorse (C)",126341,19233,5522,9452,1530,162080,
"Whittlesea (C)",153636,24472,3513,12709,3161,197490,
"Wodonga (C)",28999,6424,219,3179,532,39347,
"Wyndham (C)",162662,29396,5402,15689,3978,217118,
"Yarra (C)",56970,16214,2927,9608,933,86652,
"Yarra Ranges (S)",122864,14335,723,9948,1667,149542,
"Yarriambiack (S)",5435,556,11,599,61,6675,
"Unincorporated Vic",467,131,28,240,12,876,
"No usual address (Vic.)",1351,3285,670,2165,93,7572,
"Migratory - Offshore - Shipping (Vic.)",10,16,0,5,0,26,
"Total",4527558,745241,115380,467517,70920,5926624,

"Dataset: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
