Australian Bureau of Statistics

"2016 Census - Internal Migration"
"LGA (UR) by UAI5P Usual Address Five Years Ago Indicator"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"UAI5P Usual Address Five Years Ago Indicator","Same as in 2016","Elsewhere in Australia","Overseas in 2011","Not stated","Not applicable","Total",
"LGA (UR)",
"Alpine (S)",7093,3456,197,1066,522,12335,
"Ararat (RC)",6388,2923,150,1576,564,11599,
"Ballarat (C)",48542,37649,2070,6814,6615,101689,
"Banyule (C)",70073,32308,5715,6022,7743,121869,
"Bass Coast (S)",16161,11909,387,2683,1668,32806,
"Baw Baw (S)",24648,16840,525,3519,2946,48477,
"Bayside (C)",52088,29017,5653,5343,4993,97092,
"Benalla (RC)",7744,4181,95,1170,672,13863,
"Boroondara (C)",85258,51054,15045,8131,7742,167232,
"Brimbank (C)",111480,41456,15781,12651,12954,194315,
"Buloke (S)",3942,1336,54,621,253,6202,
"Campaspe (S)",20963,10583,381,3050,2076,37054,
"Cardinia (S)",42707,35707,2401,5500,7823,94130,
"Casey (C)",150248,91746,18134,15397,23772,299296,
"Central Goldfields (S)",7483,3800,97,1027,582,12993,
"Colac-Otway (S)",11998,5814,345,1651,1167,20971,
"Corangamite (S)",9783,3851,128,1417,876,16053,
"Darebin (C)",72358,42010,13118,10401,8835,146722,
"East Gippsland (S)",24102,13865,465,4377,2226,45041,
"Frankston (C)",69001,43270,3781,9077,9014,134144,
"Gannawarra (S)",6445,2645,60,890,507,10548,
"Glen Eira (C)",70522,41149,13739,6861,8599,140875,
"Glenelg (S)",11648,5059,150,1711,978,19556,
"Golden Plains (S)",12203,6578,148,1334,1426,21687,
"Greater Bendigo (C)",54835,38511,1788,8266,7074,110479,
"Greater Dandenong (C)",75341,37484,19217,9519,10488,152052,
"Greater Geelong (C)",117029,79276,6941,15837,14347,233426,
"Greater Shepparton (C)",33581,18054,2263,5718,4216,63839,
"Hepburn (S)",8535,4410,196,1497,695,15327,
"Hindmarsh (S)",3509,1418,77,453,259,5725,
"Hobsons Bay (C)",47711,24500,5309,5205,6063,88777,
"Horsham (RC)",10873,6130,225,1199,1219,19641,
"Hume (C)",103454,53382,13308,11686,15546,197376,
"Indigo (S)",9286,4537,133,1214,776,15953,
"Kingston (C)",83207,41999,9033,8040,9113,151389,
"Knox (C)",93191,39353,6138,6420,9013,154109,
"Latrobe (C)",40389,21140,964,6407,4363,73257,
"Loddon (S)",4636,1625,76,837,342,7512,
"Macedon Ranges (S)",25855,13625,619,3104,2898,46103,
"Manningham (C)",69644,27693,8429,4954,5540,116260,
"Mansfield (S)",4410,2863,135,751,433,8589,
"Maribyrnong (C)",35440,25810,9330,6030,5674,82285,
"Maroondah (C)",61041,32032,4903,5059,7337,110372,
"Melbourne (C)",25931,42812,46761,16066,4386,135964,
"Melton (C)",67477,41743,5656,9087,11476,135443,
"Mildura (RC)",27333,16881,1319,4983,3366,53878,
"Mitchell (S)",20117,13717,729,3497,2854,40916,
"Moira (S)",15868,8627,400,2629,1584,29108,
"Monash (C)",92458,45409,26612,8848,9284,182617,
"Moonee Valley (C)",62329,33533,7047,7148,6615,116674,
"Moorabool (S)",17528,9828,382,2062,2024,31820,
"Moreland (C)",76591,49882,15514,10312,10264,162564,
"Mornington Peninsula (S)",80928,53069,3022,9971,8005,154996,
"Mount Alexander (S)",10157,5175,274,2326,836,18762,
"Moyne (S)",9630,4388,223,1287,968,16499,
"Murrindindi (S)",7848,3880,146,1236,623,13730,
"Nillumbik (S)",39692,14476,1275,2563,3266,61274,
"Northern Grampians (S)",6922,2945,160,887,518,11436,
"Port Phillip (C)",34935,38215,12494,10329,4890,100863,
"Pyrenees (S)",4068,1763,47,1018,339,7240,
"Queenscliffe (B)",1676,820,25,255,78,2854,
"South Gippsland (S)",16041,8400,256,2420,1593,28700,
"Southern Grampians (S)",9617,4207,215,1058,846,15941,
"Stonnington (C)",41452,37178,13034,7813,4354,103831,
"Strathbogie (S)",5788,2999,129,912,450,10272,
"Surf Coast (S)",14853,10242,709,1735,1861,29402,
"Swan Hill (RC)",10778,5292,591,2590,1333,20587,
"Towong (S)",3630,1529,62,485,277,5986,
"Wangaratta (RC)",16092,8265,246,2172,1538,28310,
"Warrnambool (C)",17006,11302,764,2632,1948,33655,
"Wellington (S)",22975,12586,694,4284,2445,42986,
"West Wimmera (S)",2551,886,20,236,211,3905,
"Whitehorse (C)",87046,41457,17803,6953,8823,162080,
"Whittlesea (C)",96946,60919,13267,10212,16152,197490,
"Wodonga (C)",17945,15290,631,2653,2825,39347,
"Wyndham (C)",92803,69537,20952,12449,21381,217118,
"Yarra (C)",31135,34233,9258,8022,4009,86652,
"Yarra Ranges (S)",88299,41767,2638,7691,9141,149542,
"Yarriambiack (S)",4162,1572,55,602,287,6675,
"Unincorporated Vic",293,235,79,235,36,876,
"No usual address (Vic.)",849,3272,945,2123,374,7572,
"Migratory - Offshore - Shipping (Vic.)",10,15,0,5,0,26,
"Total",3006584,1770410,392140,386268,371219,5926624,

"Dataset: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
