Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 Census - internal migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA (UR) by LGA (1YRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counting: Person Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Summation,Person Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA (1YRS),Alpine (S),Ararat (RC),Ballarat (C),Banyule (C),Bass Coast (S),Baw Baw (S),Bayside (C),Benalla (RC),Boroondara (C),Brimbank (C),Buloke (S),Campaspe (S),Cardinia (S),Casey (C),Central Goldfields (S),Colac-Otway (S),Corangamite (S),Darebin (C),East Gippsland (S),Frankston (C),Gannawarra (S),Glen Eira (C),Glenelg (S),Golden Plains (S),Greater Bendigo (C),Greater Dandenong (C),Greater Geelong (C),Greater Shepparton (C),Hepburn (S),Hindmarsh (S),Hobsons Bay (C),Horsham (RC),Hume (C),Indigo (S),Kingston (C),Knox (C),Latrobe (C),Loddon (S),Macedon Ranges (S),Manningham (C),Mansfield (S),Maribyrnong (C),Maroondah (C),Melbourne (C),Melton (C),Mildura (RC),Mitchell (S),Moira (S),Monash (C),Moonee Valley (C),Moorabool (S),Moreland (C),Mornington Peninsula (S),Mount Alexander (S),Moyne (S),Murrindindi (S),Nillumbik (S),Northern Grampians (S),Port Phillip (C),Pyrenees (S),Queenscliffe (B),South Gippsland (S),Southern Grampians (S),Stonnington (C),Strathbogie (S),Surf Coast (S),Swan Hill (RC),Towong (S),Wangaratta (RC),Warrnambool (C),Wellington (S),West Wimmera (S),Whitehorse (C),Whittlesea (C),Wodonga (C),Wyndham (C),Yarra (C),Yarra Ranges (S),Yarriambiack (S),Capital City Undefined (Greater Melbourne),Unincorporated Vic,No Usual Address (Vic.),Migratory - Offshore - Shipping (Vic.),State Undefined (Vic.),Total
LGA (UR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine (S),11188,0,8,13,7,0,8,3,32,0,0,5,5,3,3,4,0,16,12,15,0,5,0,0,10,0,21,0,0,0,11,0,3,17,0,15,5,0,13,8,0,11,12,12,0,5,13,11,3,18,0,29,28,0,0,5,3,0,27,0,0,0,0,12,4,12,0,14,38,0,7,0,10,7,32,12,14,18,0,0,28,5,0,3,11827
Ararat (RC),0,9596,59,0,4,0,3,3,9,9,0,0,0,9,3,4,4,13,3,10,4,5,7,6,3,7,22,4,9,4,4,12,10,0,0,8,0,8,0,5,0,4,4,6,31,0,0,0,3,3,4,16,9,0,0,0,0,57,5,15,0,8,9,4,0,3,4,0,0,0,0,4,4,3,0,18,0,3,7,0,0,0,0,9,10068
Ballarat (C),0,110,99313,86,16,20,39,3,94,104,11,27,30,131,92,33,68,113,35,51,3,75,41,398,121,47,337,44,337,7,100,79,103,5,68,71,25,3,53,26,5,92,41,125,229,36,26,14,88,74,395,128,50,33,36,7,22,82,109,132,0,4,44,68,5,27,34,10,20,58,25,15,89,96,12,276,57,68,15,12,0,28,0,33,105059
Banyule (C),10,3,34,111683,20,11,31,0,526,50,0,16,35,51,5,6,0,1329,7,35,0,73,4,0,33,28,68,18,0,0,44,0,163,4,57,53,11,0,19,490,4,96,88,255,34,3,48,4,112,133,9,447,58,12,0,21,870,3,113,3,6,5,0,128,4,15,0,5,7,13,10,0,217,877,18,88,430,57,4,36,3,14,0,13,119179
Bass Coast (S),4,0,9,54,33891,106,32,3,84,13,0,4,282,324,3,5,0,43,21,125,0,66,0,3,17,42,23,19,5,0,19,3,18,5,85,126,48,0,7,60,9,18,85,40,8,3,5,12,65,30,0,42,149,4,0,8,37,0,54,0,0,283,0,43,3,4,6,0,13,10,40,0,70,40,4,26,50,204,0,8,7,11,0,15,36962
Baw Baw (S),3,5,14,28,91,49227,15,0,36,19,4,6,966,528,8,4,4,32,57,130,0,27,0,0,16,65,23,6,7,0,10,0,15,0,72,111,408,6,10,14,0,3,49,36,16,9,10,10,91,6,5,34,141,5,0,0,16,0,27,0,0,106,0,32,5,5,0,0,0,14,78,0,45,21,0,40,29,99,0,10,0,4,0,9,52921
Bayside (C),7,0,15,50,28,15,88768,4,250,17,0,9,27,100,0,0,0,58,10,106,0,1260,0,0,6,81,30,0,0,0,63,0,20,0,1143,48,10,0,8,53,3,40,31,198,12,7,10,4,222,71,5,115,220,7,0,3,15,0,1145,0,5,7,0,529,3,17,4,0,4,0,11,0,83,17,3,52,142,22,0,23,7,7,0,0,95229
Benalla (RC),6,3,0,13,0,12,0,12351,5,0,0,3,14,18,0,0,0,9,4,11,11,17,0,0,11,0,13,46,0,0,0,4,11,3,7,21,4,4,9,0,9,6,3,5,12,0,9,18,3,6,6,6,16,0,0,10,3,8,5,0,0,4,3,7,38,0,6,0,71,0,0,0,9,17,9,30,5,20,0,5,0,0,0,5,12966
Boroondara (C),12,0,64,475,45,57,141,10,146051,69,0,27,72,175,0,14,12,431,31,74,7,389,4,9,80,99,158,59,11,5,90,17,54,14,156,255,60,4,36,782,6,128,281,682,45,22,21,13,879,165,6,381,211,24,9,23,123,6,354,0,12,46,10,1236,6,53,13,3,31,26,34,0,1600,148,24,229,1242,193,0,44,13,14,0,13,158418
Brimbank (C),0,6,34,54,4,5,12,6,65,171697,0,9,9,71,0,10,0,168,7,25,0,74,3,0,28,125,85,32,7,0,245,0,524,3,39,27,16,4,32,25,0,1353,40,273,1303,21,32,9,64,772,24,375,8,0,0,0,8,0,65,0,0,0,0,49,6,3,12,0,3,12,12,0,51,178,8,618,108,14,0,30,0,17,0,15,178917
Buloke (S),0,5,19,4,6,0,0,0,0,4,5203,4,3,0,4,0,3,5,4,6,3,0,0,0,15,3,6,0,0,0,0,12,3,0,0,0,0,9,0,0,0,0,0,5,4,4,0,0,8,8,12,10,3,3,0,0,0,12,0,5,0,0,0,0,0,9,10,0,0,0,0,5,0,9,0,5,0,0,8,0,0,0,0,0,5455
Campaspe (S),5,0,16,3,0,10,4,18,26,20,6,33172,27,43,4,0,17,18,0,39,55,14,10,6,156,8,37,191,8,6,12,0,57,3,39,16,7,11,57,3,10,15,19,13,33,10,42,45,12,23,33,30,39,11,19,3,12,0,11,4,0,0,0,9,5,7,15,0,13,6,3,0,19,42,13,41,14,34,0,3,0,9,0,14,34753
Cardinia (S),0,0,16,32,119,351,38,6,83,20,0,5,100661,3607,10,0,0,38,38,276,0,141,7,8,30,890,25,12,3,0,23,4,42,0,237,536,109,0,6,53,9,26,171,50,28,10,10,9,364,18,7,47,158,3,0,10,18,3,42,0,0,73,8,68,10,9,6,0,3,5,25,0,165,71,11,71,38,395,0,34,0,4,0,19,109412
Casey (C),6,0,53,69,130,164,87,17,222,110,0,11,1893,320655,6,17,0,97,35,2475,3,586,3,0,52,4519,93,106,0,0,51,9,155,0,943,1215,119,8,20,205,8,73,316,169,83,29,17,16,1542,49,9,119,772,17,0,18,18,3,138,0,0,61,10,203,6,4,35,7,24,12,33,0,543,179,21,300,47,347,4,53,0,35,0,46,339501
Central Goldfields (S),0,3,59,3,8,0,5,0,0,11,0,0,4,10,11550,0,3,3,0,18,0,3,0,3,66,4,9,3,20,0,9,3,17,0,9,10,5,22,6,3,8,0,8,3,22,3,6,0,0,6,11,13,17,33,4,0,0,4,3,43,0,0,6,0,0,4,3,0,0,0,6,0,4,14,0,21,4,11,3,0,0,9,0,7,12142
