Australian Bureau of Statistics

"2021 Census - internal migration"
"LGA (UR) by LGA (5YRS)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"LGA (5YRS)","Alpine","Ararat","Ballarat","Banyule","Bass Coast","Baw Baw","Bayside (Vic.)","Benalla","Boroondara","Brimbank","Buloke","Campaspe","Cardinia","Casey","Central Goldfields","Colac Otway","Corangamite","Darebin","East Gippsland","Frankston","Gannawarra","Glen Eira","Glenelg","Golden Plains","Greater Bendigo","Greater Dandenong","Greater Geelong","Greater Shepparton","Hepburn","Hindmarsh","Hobsons Bay","Horsham","Hume","Indigo","Kingston (Vic.)","Knox","Latrobe (Vic.)","Loddon","Macedon Ranges","Manningham","Mansfield","Maribyrnong","Maroondah","Melbourne","Melton","Mildura","Mitchell","Moira","Monash","Moonee Valley","Moorabool","Moreland","Mornington Peninsula","Mount Alexander","Moyne","Murrindindi","Nillumbik","Northern Grampians","Port Phillip","Pyrenees","Queenscliffe","South Gippsland","Southern Grampians","Stonnington","Strathbogie","Surf Coast","Swan Hill","Towong","Wangaratta","Warrnambool","Wellington","West Wimmera","Whitehorse","Whittlesea","Wodonga","Wyndham","Yarra","Yarra Ranges","Yarriambiack","Capital City Undefined (Greater Melbourne)","Unincorporated Vic","No usual address (Vic.)","Migratory - Offshore - Shipping (Vic.)","State Undefined (Vic.)","Total",
"LGA (UR)",
"Alpine",8812,3,10,42,14,4,18,11,63,12,4,12,9,32,5,5,0,35,27,30,0,42,0,4,13,17,64,18,7,0,23,0,20,60,28,39,7,0,18,15,12,20,20,34,24,27,17,43,21,43,4,41,68,3,0,18,11,3,59,0,0,3,0,23,11,25,3,9,105,0,19,0,34,28,89,24,52,86,0,11,55,8,0,9,10585,
"Ararat",0,7819,136,15,3,0,0,7,5,29,3,0,5,37,15,11,23,18,4,21,6,4,17,5,23,11,48,10,12,7,20,33,18,3,5,24,0,7,12,3,0,16,15,15,54,8,0,8,9,3,19,31,26,7,14,3,3,169,11,58,0,0,20,5,0,6,4,0,7,8,0,6,8,17,6,54,7,22,10,0,0,0,0,9,9118,
"Ballarat",11,337,78916,214,46,57,91,25,257,274,46,89,110,198,283,110,179,273,53,165,26,187,102,1299,269,98,833,90,970,39,243,252,236,9,171,150,87,17,166,112,21,247,165,268,571,123,68,36,192,218,1083,388,151,88,77,38,94,250,207,421,3,37,160,184,17,82,89,10,43,182,39,41,262,174,46,630,198,194,64,39,0,31,0,101,94453,
"Banyule",8,4,72,86981,29,24,87,7,1371,160,3,43,45,157,3,9,6,3469,41,86,9,210,10,5,109,78,167,60,6,3,134,11,376,8,101,189,35,8,38,1385,12,214,253,700,113,27,106,26,297,380,25,1042,120,34,16,50,2306,10,357,3,0,19,10,347,6,10,5,3,23,25,38,0,613,2572,42,243,1030,175,5,140,4,17,0,38,107001,
"Bass Coast",8,9,16,183,24632,217,130,10,234,48,0,33,780,1172,6,4,0,152,81,489,0,149,0,0,42,99,53,24,16,0,39,3,54,6,293,523,232,7,37,147,8,62,268,112,43,4,35,37,235,81,36,130,470,22,13,38,108,7,187,0,4,685,7,120,7,16,4,0,6,10,96,0,269,102,5,87,157,712,0,22,4,23,0,32,34182,
"Baw Baw",9,3,27,54,143,37157,67,4,107,27,0,12,2903,1986,14,12,14,74,194,408,9,114,5,4,38,269,56,39,3,0,26,0,55,3,180,373,1226,6,16,53,7,20,167,81,41,20,18,21,203,18,15,81,397,7,3,27,40,0,74,0,0,323,7,97,3,4,0,4,15,18,207,3,164,54,9,85,64,335,0,49,4,22,0,42,48446,
"Bayside (Vic.)",9,0,42,154,39,33,69543,5,651,76,0,12,52,330,7,5,4,130,16,311,0,3307,4,0,27,223,81,16,15,0,133,0,69,0,2760,207,19,0,22,146,3,131,77,509,56,12,18,4,595,174,3,179,384,7,0,8,44,0,2587,0,3,19,4,1127,4,20,5,5,10,3,12,0,230,53,9,120,356,93,0,80,3,0,0,25,85434,
"Benalla",28,0,14,23,5,22,9,9889,8,17,0,26,34,58,0,0,3,33,22,33,6,31,4,5,38,13,27,123,0,0,3,3,42,15,17,45,16,0,14,13,68,6,38,20,23,13,30,66,16,14,13,13,64,3,0,26,27,8,11,0,0,6,3,17,111,3,6,0,197,0,7,0,28,44,25,40,19,115,0,6,0,4,0,16,11766,
"Boroondara",25,9,146,1012,72,88,310,22,111157,171,4,51,158,479,10,18,21,960,69,155,18,822,17,5,177,176,293,118,19,6,218,38,151,34,329,705,124,20,75,2347,19,313,601,1715,102,63,30,49,1982,377,27,664,355,39,17,49,325,13,839,11,3,84,24,2578,12,44,28,10,65,67,95,5,3582,393,68,459,2423,426,8,146,0,16,0,43,138818,
"Brimbank",5,8,67,139,15,13,29,4,143,138708,0,19,24,188,4,18,10,403,20,54,5,140,5,12,63,341,222,50,17,0,619,3,1025,15,108,73,45,3,109,96,0,3510,71,644,3123,50,56,15,154,1867,96,839,45,16,4,0,24,9,209,3,0,5,5,142,4,9,43,0,8,16,17,11,126,499,19,1079,386,46,7,135,0,25,0,85,156233,
"Buloke",0,9,37,5,13,13,3,3,8,7,4334,8,9,18,7,0,9,5,6,12,9,3,0,3,58,0,23,12,9,0,6,24,13,0,4,16,7,8,11,4,0,4,3,6,35,23,0,6,5,6,11,6,22,9,6,0,0,23,6,14,0,3,0,3,0,6,27,0,4,0,0,3,7,3,0,9,3,6,34,0,0,0,0,0,5015,
"Campaspe",3,7,74,38,22,23,12,37,48,71,5,27318,114,129,15,10,22,61,19,119,127,42,16,20,357,36,123,448,13,5,43,9,155,9,70,70,23,29,112,24,15,29,45,39,106,40,107,148,35,67,54,69,113,39,4,28,23,16,27,6,0,20,8,35,33,22,37,14,27,9,5,3,43,142,30,115,27,101,7,23,0,11,0,31,31608,
"Cardinia",4,6,35,112,324,791,113,18,272,89,5,26,68925,11658,14,6,0,147,75,986,4,452,9,7,71,2434,94,50,7,3,48,8,106,4,718,1950,378,9,18,135,24,56,645,134,89,30,21,25,1232,53,15,121,550,21,5,24,47,11,145,8,0,192,16,268,5,7,21,4,4,10,96,0,472,161,22,220,117,1512,3,114,0,18,0,48,96679,
"Casey",15,10,112,261,316,373,308,32,692,413,14,38,4210,234671,16,28,0,265,157,7386,14,1895,32,6,131,14525,235,292,19,7,132,31,392,6,3367,4064,357,10,28,489,16,171,966,483,259,126,70,38,5008,148,24,296,2095,16,8,32,75,22,381,5,0,178,12,691,15,14,78,0,17,54,138,4,1647,459,71,611,174,1200,5,187,4,29,0,129,291291,
"Central Goldfields",5,21,147,18,8,4,16,3,13,19,8,13,22,58,9628,3,6,3,9,55,6,14,5,21,104,19,41,14,63,0,33,4,41,5,21,23,9,34,28,9,0,14,34,7,81,15,16,6,6,14,33,21,59,103,13,11,11,27,4,100,3,5,8,5,9,0,13,3,0,8,8,8,17,17,3,69,7,35,7,7,0,15,0,12,11414,
