Australian Bureau of Statistics,,,,,,
,,,,,,
2021 Census - internal migration,,,,,,
LGA (UR) by UAI5P Usual Address Five Years Ago Indicator,,,,,,
Counting: Person Records,,,,,,
,,,,,,
Filters:,,,,,,
Default Summation,Person Records,,,,,
,,,,,,
UAI5P Usual Address Five Years Ago Indicator,Same as in 2021,Elsewhere in Australia,Overseas in 2016,Not stated,Not applicable,Total
LGA (UR),,,,,,
Alpine (S),7224,4180,276,1015,539,13235
Ararat (RC),6153,3309,281,1559,578,11880
Ballarat (C),54806,43554,2641,6150,6608,113763
Banyule (C),74130,36206,4644,4206,7052,126236
Bass Coast (S),18810,16381,560,3197,1841,40789
Baw Baw (S),28125,21678,794,3527,3507,57626
Bayside (C),56851,31036,5161,3815,4450,101306
Benalla (RC),7892,4439,214,1335,649,14528
Boroondara (C),91684,52768,11539,5258,6653,167900
Brimbank (C),117814,41778,12488,11539,10994,194618
Buloke (S),3754,1450,106,587,289,6178
Campaspe (S),21877,11422,528,2972,1939,38735
Cardinia (S),53421,45899,3800,5977,9096,118194
Casey (C),177461,122583,21161,16197,27841,365239
Central Goldfields (S),7884,3854,96,1125,521,13483
Colac-Otway (S),12480,6619,564,1642,1123,22423
Corangamite (S),9514,4324,198,1333,748,16115
Darebin (C),76869,47650,9447,6710,7896,148570
East Gippsland (S),25722,16000,639,4181,2173,48715
Frankston (C),75161,45069,2986,7461,8599,139281
Gannawarra (S),6245,2884,99,972,486,10683
Glen Eira (C),75621,48374,11999,5150,7772,148908
Glenelg (S),11293,6188,239,1523,904,20152
Golden Plains (S),14595,7416,132,1300,1541,24985
Greater Bendigo (C),61880,42685,2294,7476,7147,121470
Greater Dandenong (C),83990,39640,16144,8809,9620,158208
Greater Geelong (C),131211,100420,8868,15091,15470,271057
Greater Shepparton (C),35303,20843,2687,5489,4084,68409
Hepburn (S),9297,5011,253,1367,677,16604
Hindmarsh (S),3427,1471,83,427,285,5698
Hobsons Bay (C),50439,26536,4283,4290,5775,91322
Horsham (RC),11263,6425,307,1266,1166,20429
Hume (C),119683,75597,17463,12304,18851,243901
Indigo (S),9942,5186,164,1221,849,17368
Kingston (C),91035,45821,7110,5548,8611,158129
Knox (C),97135,42594,5670,5273,8428,159103
Latrobe (C),41980,23621,1050,6374,4295,77318
Loddon (S),4646,1804,84,906,317,7759
Macedon Ranges (S),29234,15894,768,2716,2854,51458
Manningham (C),73251,33746,8251,3892,5556,124700
Mansfield (S),4855,3935,193,798,397,10178
Maribyrnong (C),39423,29591,6831,4420,4942,85209
Maroondah (C),66558,33414,4387,3819,6862,115043
Melbourne (C),32419,61389,40038,11417,4354,149615
Melton (C),83766,61133,8403,11193,14460,178960
Mildura (RC),29135,17500,2121,4956,3260,56972
Mitchell (S),23685,18194,1010,3061,3505,49460
Moira (S),16422,9669,504,2443,1478,30522
Monash (C),98633,53870,21576,7868,8458,190397
Moonee Valley (C),67019,38099,5817,4788,6133,121851
Moorabool (S),19802,12959,561,1938,2370,37632
Moreland (C),82736,58107,13231,7551,9731,171357
Mornington Peninsula (S),91738,56400,2605,10287,7922,168948
Mount Alexander (S),10838,6256,253,2096,808,20253
Moyne (S),10109,4897,190,1217,963,17374
Murrindindi (S),8501,4505,139,1404,651,15197
Nillumbik (S),42251,14557,960,1899,3221,62895
Northern Grampians (S),6884,3019,292,1176,582,11948
Port Phillip (C),39654,40682,10638,6795,4177,101942
Pyrenees (S),4321,1964,39,1034,311,7671
Queenscliffe (B),1823,1059,53,255,86,3276
South Gippsland (S),16736,9938,292,2170,1437,30577
Southern Grampians (S),9450,4962,209,1094,868,16588
Stonnington (C),45180,40339,10017,5218,3950,104703
Strathbogie (S),6184,3503,164,1081,532,11455
Surf Coast (S),17812,14662,811,2105,2301,37694
Swan Hill (RC),11592,5239,1337,1935,1298,21403
Towong (S),3631,1669,91,554,278,6223
Wangaratta (RC),16964,8980,422,1906,1535,29808
Warrnambool (C),18836,11674,943,2133,1828,35406
Wellington (S),23679,14498,695,4373,2397,45639
West Wimmera (S),2402,914,45,403,238,4006
Whitehorse (C),92732,46859,15532,6437,7787,169346
Whittlesea (C),120631,69534,13001,9724,16508,229396
Wodonga (C),20438,16811,966,2326,2702,43253
Wyndham (C),118303,101456,30424,15727,26099,292011
Yarra (C),34676,38848,8122,4821,3636,90114
Yarra Ranges (S),95491,42823,2361,6091,9298,156068
Yarriambiack (S),4119,1498,48,605,284,6556
Unincorporated Vic,254,352,100,233,21,955
No usual address (Vic.),876,3610,568,3624,414,9089
Migratory - Offshore - Shipping (Vic.),5,4,5,27,0,38
Total,3329653,2081688,372053,344199,375900,6503491
,,,,,,
,,,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,,,,,
,,,,,,
,,,,,,
"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright",,,,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,,,
