LGA,Region
Alpine (S),Rest of Victoria
Ararat (RC),Rest of Victoria
Ballarat (C),Peri-Urban Area
Banyule (C),Middle
Bass Coast (S),Peri-Urban Area
Baw Baw (S),Peri-Urban Area
Bayside (C),Middle
Benalla (RC),Rest of Victoria
Boroondara (C),Middle
Brimbank (C),Middle
Buloke (S),Rest of Victoria
Campaspe (S),Rest of Victoria
Cardinia (S),Outer
Casey (C),Outer
Central Goldfields (S),Peri-Urban Area
Colac-Otway (S),Rest of Victoria
Corangamite (S),Rest of Victoria
Darebin (C),Middle
East Gippsland (S),Rest of Victoria
Frankston (C),Outer
Gannawarra (S),Rest of Victoria
Glen Eira (C),Middle
Glenelg (S),Peri-Urban Area
Golden Plains (S),Peri-Urban Area
Greater Bendigo (C),Peri-Urban Area
Greater Dandenong (C),Middle
Greater Geelong (C),Peri-Urban Area
Greater Shepparton (C),Rest of Victoria
Hepburn (S),Peri-Urban Area
Hindmarsh (S),Rest of Victoria
Hobsons Bay (C),Middle
Horsham (RC),Rest of Victoria
Hume (C),Outer
Indigo (S),Rest of Victoria
Kingston (C),Middle
Knox (C),Outer
Latrobe (C),Rest of Victoria
Loddon (S),Rest of Victoria
Macedon Ranges (S),Peri-Urban Area
Manningham (C),Middle
Mansfield (S),Peri-Urban Area
Maribyrnong (C),Middle
Maroondah (C),Outer
Melbourne (C),Inner
Melton (C),Outer
Mildura (RC),Rest of Victoria
Mitchell (S),Peri-Urban Area
Moira (S),Rest of Victoria
Monash (C),Middle
Moonee Valley (C),Middle
Moorabool (S),Peri-Urban Area
Moreland (C),Middle
Mornington Peninsula (S),Outer
Mount Alexander (S),Peri-Urban Area
Moyne (S),Rest of Victoria
Murrindindi (S),Peri-Urban Area
Nillumbik (S),Outer
Northern Grampians (S),Rest of Victoria
Port Phillip (C),Inner
Pyrenees (S),Rest of Victoria
Queenscliffe (B),Peri-Urban Area
South Gippsland (S),Peri-Urban Area
Southern Grampians (S),Rest of Victoria
Stonnington (C),Inner
Strathbogie (S),Peri-Urban Area
Surf Coast (S),Peri-Urban Area
Swan Hill (RC),Rest of Victoria
Towong (S),Rest of Victoria
Wangaratta (RC),Rest of Victoria
Warrnambool (C),Rest of Victoria
Wellington (S),Rest of Victoria
West Wimmera (S),Rest of Victoria
Whitehorse (C),Middle
Whittlesea (C),Outer
Wodonga (C),Rest of Victoria
Wyndham (C),Outer
Yarra (C),Inner
Yarra Ranges (S),Outer
Yarriambiack (S),Rest of Victoria
